num,year,title,publisher,mother company,is Global 50,year merged to Global 50
201,2018,Becoming,Crown,Pearson,O,
202,2018,GirlWashYourFaceStopBelievingtheLies,Thomas Nelson on Brilliance Audio,HarperCollins,O,
203,2018,TheWonkyDonkey,Scholastic Paperbacks,Scholastic (corp.),O,
204,2018,FireandFuryInsidetheTrumpWhiteHouse,Henry Holt and Company,Holtzbrinck,O,
205,2018,FearTrumpintheWhiteHouse,Simon & Schuster,Simon & Schuster,O,
206,2018,LastWeekTonightwithJohnOliverPresentsA,Chronicle Books,McEvoy Group,X,
207,2018,12RulesforLifeAnAntidotetoChaos,Random House Canada,Pearson,O,
208,2018,MagnoliaTableACollectionofRecipesfor,William Morrow Cookbooks,HarperCollins,O,
209,2018,WhoseBoatIsThisBoatCommentsThatDon't,Simon & Schuster,Simon & Schuster,O,
210,2018,TheSubtleArtofNotGivingaF*ckA,Harper,HarperCollins,O,
211,2018,AHigherLoyaltyTruthLiesandLeadership,Flatiron Books,Holtzbrinck,O,
212,2018,TheCompleteKetogenicDietforBeginnersYour,Rockridge Press ,Rockridge Press,X,
213,2018,TheMeltdownDiaryofaWimpyKidBook13,Amulet Books,La Martinière Groupe,O,
214,2018,The5LoveLanguagesTheSecrettoLovethat,Northfield Publishing,Moody Publishers,X,
215,2018,First100Words,Priddy Books US,Priddy Books US,X,
216,2018,DogManLordoftheFleasFromtheCreatorof,Graphix,Scholastic Corp.,O,
217,2018,EducatedAMemoir,Random House,Pearson,O,
218,2018,YouAreaBadassHowtoStopDoubtingYour,Running Press Adult,Perseus Books Group,O,
219,2018,ThePlantParadoxTheHiddenDangersin,Tantor Audio,,X,
220,2018,GiraffesCan'tDance,Cartwheel Books,Scholastic Corp.,O,
221,2018,Player'sHandbookDungeons&Dragons,Wizards of the Coast,Hasbro,X,
222,2018,HomebodyAGuidetoCreatingSpacesYou,Harper Design,HarperCollins,O,
223,2018,TheVeryHungryCaterpillar,World of Eric Carle ,Pearson,O,
224,2018,CrazyRichAsiansCrazyRichAsiansTrilogy,Anchor ,Anchor,X,
225,2018,TheHateUGive,Balzer + Bray,HarperCollins,O,
226,2018,TheInstantPotElectricPressureCooker,Rockridge Press ,Rockridge Press,X,
227,2018,TheFourAgreementsAPracticalGuideto,Amber-Allen Publishing Incorporated ,Amber-Allen Publishing Incorporated ,X,
228,2018,TheWonderfulThingsYouWillBe,Random House Books for Young Readers,Random House ,O,
229,2018,PisforPottySesameStreetLift-the-Flap,Random House Books for Young Readers,Random House ,O,
230,2018,ThePout-PoutFish,Farrar Straus and Giroux ,Holtzbrinck,O,
231,2018,LetteringandModernCalligraphyABeginner's,June & Lucy ,June & Lucy ,X,
232,2018,PublicationManualoftheAmerican,American Psychological Association,American Psychological Association,X,
233,2018,DearZooALift-the-FlapBook,Little Simon,Simon & Schuster,O,
234,2018,OhthePlacesYou'llGo혻혻,Random House Books for Young Readers ,Pearson,O,
235,2018,DogManandCatKidFromtheCreatorof,Graphix ,Scholastic Corp.,O,
236,2018,GoodnightMoon,HarperCollins,HarperCollins,O,
237,2018,SaltFatAcidHeatMasteringtheElementsof,Simon and Schuster,Simon & Schuster,O,
238,2018,AWrinkleinTimeTimeQuintet,Square Fish,Holtzbrinck,O,
239,2018,HowtoWinFriends&InfluencePeople,Pocket Books ,Simon & Schuster,O,
240,2018,DogManBrawloftheWildFromtheCreatorof,Graphix,Scholastic Corp.,O,
241,2018,InstantPotPressureCookerCookbook500,Independently published ,Independently published ,X,
242,2018,MilkandHoney,Andrews McMeel Publishing,Andrews McMeel Publishing,X,
243,2018,LittleFiresEverywhere,Penguin Books,Pearson,O,
244,2018,KitchenConfidentialUpdatedEdition,Ecco,HarperCollins,O,
245,2018,ThePresidentIsMissing,Grand Central Publishing,Hachette Livre,O,
246,2018,SchoolZone-BigPreschoolWorkbook-Ages4,School Zone Publishing,School Zone Publishing,X,
247,2018,ThePlantParadoxCookbook100Delicious,Harper Wave,HarperCollins,O,
248,2018,ReadyPlayerOne,Ballantine Books,Pearson,O,
249,2018,Fahrenheit451,Simon & Schuster,Simon & Schuster,O,
250,2018,ShipofFoolsHowaSelfishRulingClassIs,Thorndike Press Large Print,Cengage,O,
251,2018,TheAlchemist25thAnniversaryAFableAbout,HarperOne,HarperCollins,O,
252,2018,Wonder,Knopf Books for Young Readers,Pearson,O,
253,2018,ToKillaMockingbird,Harper Perennial ,HarperCollins,O,
254,2018,TheWhole30The30-DayGuidetoTotalHealth,Houghton Mifflin Harcourt,HMH,O,
255,2018,TheKetoDietTheCompleteGuidetoaHigh-Fat,Victory Belt Publishing,Victory Belt Publishing,X,
256,2018,EverybodyAlwaysBecomingLoveinaWorld,Thomas Nelson,HarperCollins,O,
257,2018,BeforeWeWereYours,Ballantine Books ,Pearson,O,
258,2018,TheReckoning,Dell ,Pearson,O,
259,2018,BrownBearBrownBearWhatDoYouSee,Henry Holt and Co. (BYR),Holtzbrinck,O,
260,2018,BeneathaScarletSky,Lake Union Publishing,amazon,X,
261,2018,WhattoExpectWhenYou'reExpecting,Workman Publishing Company,Workman Publishing Company,X,
262,2018,PrinciplesLifeandWork,Simon & Schuster,Simon & Schuster,O,
263,2018,AstrophysicsforPeopleinaHurry,W. W. Norton & Company,W. W. Norton & Company,X,
264,2018,Laugh-Out-LoudJokesforKids,Revell ,Baker Publishing Group,X,
265,2018,MedicalMediumLiverRescueAnswersto,Hay House Inc.,Hay House Inc.,X,
266,2018,TheOfficialSATStudyGuide2018Edition,College Board,College Board,X,
267,2018,CalmtheF*ckDownAnIrreverentAdult,CreateSpace Independent Publishing Platform,CreateSpace Independent Publishing Platform,X,
268,2018,TheCareandKeepingofYouTheBodyBookfor,American Girl,American Girl,X,
269,2018,TheOutsider,Scribner,Simon & Schuster,O,
270,2018,WheretheCrawdadsSing,G.P. Putnam's Sons,Pearson,O,
271,2018,Dungeons&DragonsDungeonMaster'sGuide,Wizards of the Coast ,Hasbro,X,
272,2018,SapiensABriefHistoryofHumankind,Harper Perennial,HarperCollins,O,
273,2018,LoveYouForever,Firefly Books ,Firefly Books,X,
274,2018,DragonsLoveTacos,Dial Books,Pearson,O,
275,2018,TheWomanintheWindow,William Morrow Paperbacks,HarperCollins,O,
276,2018,Dungeons&DragonsMonsterManualCore,Wizards of the Coast ,Hasbro,X,
277,2018,SimplyKetoAPracticalApproachtoHealth&,Victory Belt Publishing,Victory Belt Publishing,X,
278,2018,StrengthsFinder2.0,Gallup Press,Gallup Press,X,
279,2018,ExtremeOwnershipHowU.S.NavySEALsLead,St. Martin's Press,Holtzbrinck,O,
280,2018,TheRussiaHoaxTheIllicitSchemetoClear,Broadside Books,HarperCollins,O,
281,2018,HowtoDraw101Animals,Imagine That,Imagine That,X,
282,2018,TheSunandHerFlowers,Andrews McMeel Publishing,Andrews McMeel Publishing,X,
283,2018,TheLife-ChangingMagicofTidyingUpThe,Ten Speed Press,Pearson,O,
284,2018,TheEasy5-IngredientKetogenicDietCookbook,Rockridge Press ,Rockridge Press,X,
285,2018,WhereDoDiggersSleepatNightWhere,Random House Books for Young Readers,Pearson,O,
286,2018,The7HabitsofHighlyEffectivePeople,Simon & Schuster,Simon & Schuster,O,
287,2018,WhiskeyinaTeacupWhatGrowingUpinthe,Atria Books,Simon & Schuster,O,
288,2018,Man'sSearchforMeaningOLDEDITION/OUT,Beacon Press,Beacon Press,X,
289,2018,TheGreatAlone,St. Martin's Press,Holtzbrinck,O,
290,2018,TheTotalMoneyMakeoverClassicEditionA,Thomas Nelson,HarperCollins,O,
291,2018,CravingsHungryforMoreACookbook,Clarkson Potter,Pearson,O,
292,2018,TheHandmaid'sTale,Anchor,Anchor,X,
293,2018,TheGiftsofImperfectionLetGoofWhoYou,Brilliance Audio,,X,
294,2018,TheGreatGatsby,Scribner ,Simon & Schuster,O,
295,2018,TheBodyKeepstheScoreBrainMindandBody,Penguin Books,Pearson,O,
296,2018,GmorningGnightLittlePepTalksforMe&You,Random House,Pearson,O,
297,2018,RichDadPoorDadWhattheRichTeachTheir,Plata Publishing,Plata Publishing,X,
298,2018,MakeYourBedLittleThingsThatCanChange,Grand Central Publishing,Grand Central Publishing,X,
299,2018,HarryPotterPaperbackBoxSetBooks1-7,Arthur A. Levine Books,Scholastic (corp.),O,
300,2018,Xanathar'sGuidetoEverythingDungeons&,Wizards of the Coast,Hasbro,X,
