num,year,title,publisher,mother company,is Global 50,year merged to Global 50
301,2017,Wonder,Knopf Books for Young Readers,Random House,O,
302,2017,MilkandHoney,Andrews McMeel Publishing,Andrews McMeel Publishing,X,
303,2017,GiraffesCan'tDance,Cartwheel Books,Scholastic Corp.,O,
304,2017,TheSubtleArtofNotGivingaF*ckA,Harper,HarperCollins,O,
305,2017,TheGetaway,Harry N. Abrams,La Martinière Groupe,O,
306,2017,TheInstantPotElectricPressureCooker,Rockridge Press ,Rockridge Press,X,
307,2017,HillbillyElegyAMemoirofaFamilyandCulture,Harper Paperbacks,HarperCollins,O,
308,2017,AstrophysicsforPeopleinaHurry,W. W. Norton & Company,W. W. Norton & Company,X,
309,2017,First100Words,Priddy Books US,Priddy Books US,X,
310,2017,TheWhole30The30-DayGuidetoTotalHealth,Houghton Mifflin Harcourt,HMH,O,
311,2017,TheHandmaid'sTale,Anchor,Random House,O,
312,2017,The5LoveLanguagesTheSecrettoLovethat,Northfield Publishing,Moody Bible Institute,X,
313,2017,YouAreaBadassHowtoStopDoubtingYour,Running Press Adult,Perseus Books Group,O,
314,2017,WhatHappened,Simon & Schuster,Simon & Schuster,O,
315,2017,OhthePlacesYou'llGo혻혻,Random House Books for Young Readers ,Random House,O,
316,2017,MakeYourBedLittleThingsThatCanChange,Grand Central Publishing,Grand Central Publishing,X,
317,2017,1984SignetClassics,Signet Classic ,Pearson,O,
318,2017,HowtoWinFriends&InfluencePeople,Pocket Books ,Simon & Schuster,O,
319,2017,Origin,Doubleday,Random House,O,
320,2017,AManCalledOve,Washington Square Press,Simon & Schuster,O,
321,2017,TheSunandHerFlowers,Andrews McMeel Publishing,Andrews McMeel Publishing,X,
322,2017,DearZooALift-the-FlapBook,Little Simon,Simon & Schuster,O,
323,2017,TheFourAgreementsAPracticalGuideto,Amber-Allen Publishing Incorporated ,Amber-Allen Publishing Incorporated ,X,
324,2017,TheGoing-To-BedBook,Little Simon,Simon & Schuster,O,
325,2017,StrengthsFinder2.0,Gallup Press,Gallup Press,X,
326,2017,TheWonderfulThingsYouWillBe,Random House Books for Young Readers,Random House,O,
327,2017,TheShackWhereTragedyConfrontsEternity,Windblown Media,Windblown Media,X,
328,2017,TheLife-ChangingMagicofTidyingUpThe,Ten Speed Press,Random House,O,
329,2017,OptionBFacingAdversityBuildingResilience,Knopf,Random House,O,
330,2017,ThugKitchenTheOfficialCookbookEatLike,Rodale Books,Random House ,O,
331,2017,AGentlemaninMoscow,Penguin Books,Pearson,O,
332,2017,PublicationManualoftheAmerican,American Psychological Association,American Psychological Association,X,
333,2017,GoodnightMoon,HarperCollins,HarperCollins,O,
334,2017,ThirteenReasonsWhy,Razorbill,Pearson,O,
335,2017,LeonardodaVinci,Simon & Schuster,Simon & Schuster,O,
336,2017,ThePout-PoutFish,Farrar Straus and Giroux ,Holtzbrinck,O,
337,2017,HarryPotterandthePrisonerofAzkabanThe,Scholastic Paperbacks ,Scholastic Corp.,O,
338,2017,IfAnimalsKissedGoodNight,Farrar Straus and Giroux ,Holtzbrinck,O,
339,2017,BrownBearBrownBearWhatDoYouSee,Henry Holt and Co. (BYR),Holtzbrinck,O,
340,2017,Player'sHandbookDungeons&Dragons,Wizards of the Coast,Hasbro,X,
341,2017,TheVeryHungryCaterpillar,World of Eric Carle ,Pearson,O,
342,2017,PuppyBirthdaytoYouPawPatrolLittle,Golden Books,Disney-Hyperion,X,
343,2017,Laugh-Out-LoudJokesforKids,Revell ,Baker Publishing Group,X,
344,2017,ToolsofTitansTheTacticsRoutinesandHabits,Houghton Mifflin Harcourt,HMH,O,
345,2017,MilkandVineInspirationalQuotesFromClassic,Independently published ,Independently published ,X,
346,2017,ReadyPlayerOne,Ballantine Books,Random House,O,
347,2017,DogManATaleofTwoKittiesFromtheCreator,Graphix,Scholastic Corp.,O,
348,2017,ObamaAnIntimatePortrait,Little Brown and Company,Hachette Livre,O,
349,2017,The7HabitsofHighlyEffectivePeople,Simon & Schuster,Simon & Schuster,O,
350,2017,KillersoftheFlowerMoonTheOsageMurders,Vintage,Random House,O,
351,2017,TheCareandKeepingofYouTheBodyBookfor,American Girl,American Girl,X,
352,2017,UninvitedLivingLovedWhenYouFeelLess,Thomas Nelson on Brilliance Audio,HarperCollins,O,
353,2017,BigLittleLies,Berkley,Pearson,O,
354,2017,TheOfficialSATStudyGuide2018Edition,College Board,College Board,X,
355,2017,TheWhole30Cookbook150Deliciousand,Houghton Mifflin Harcourt,HMH,O,
356,2017,ThinkingFastandSlow,Farrar Straus and Giroux,Holtzbrinck,O,
357,2017,JesusCallingEnjoyingPeaceinHisPresence,Thomas Nelson,HarperCollins,O,
358,2017,WhattoExpectWhenYou'reExpecting,Workman Publishing Company,Workman Publishing Group,X,
360,2017,TheGreatGatsby,Scribner ,Simon & Schuster,O,
361,2017,TheWisdomofSundaysLife-ChangingInsights,Flatiron Books ,Holtzbrinck,O,
362,2017,PisforPottySesameStreetLift-the-Flap,Random House Books for Young Readers,Random House,O,
363,2017,TheRoosterBar,Dell ,Random House,O,
364,2017,TheGivingTree,Harper & Row,HarperCollins,O,
365,2017,ShePersisted13AmericanWomenWho,Philomel Books,Pearson,O,
366,2017,OnTyrannyTwentyLessonsfromtheTwentieth,Tim Duggan Books,Random House,O,
367,2017,TheAlchemist25thAnniversaryAFableAbout,HarperOne,HarperCollins,O,
368,2017,Fahrenheit451,Simon & Schuster,Simon & Schuster,O,
