num,year,title,publisher,mother company,is Global 50,year merged to Global 50
1,2020,TooMuchandNeverEnoughHowMyFamily,Simon & Schuster,Simon & Schuster,O,
2,2020,WheretheCrawdadsSing,G.P. Putnam's Sons,Pearson,O,
3,2020,MyFirstLearntoWriteWorkbookPracticefor,Rockridge Press,Rockridge Press,X,
4,2020,MidnightSun,Little Brown Books for Young Readers ,Hachette Livre,O,
5,2020,Untamed,The Dial Press ,Pearson,O,
6,2020,TheRoomWhereItHappenedAWhiteHouse,Simon & Schuster,Simon & Schuster,O,
7,2020,WhiteFragilityWhyIt'sSoHardforWhite,Beacon Press,Beacon Press,X,
8,2020,SchoolZone-BigPreschoolWorkbook-Ages4,School Zone Publishing,School Zone Publishing,X,
9,2020,IfAnimalsKissedGoodNight,Farrar Straus and Giroux ,Holtzbrinck,O,
10,2020,TheBalladofSongbirdsandSnakesAHunger,Scholastic Press ,Scholastic (corp.),O,
11,2020,HowtoBeanAntiracist,One World,One World,X,
12,2020,TheVeryHungryCaterpillar,World of Eric Carle ,Pearson,O,
13,2020,Rage,Simon & Schuster,Simon & Schuster,O,
14,2020,LittleFiresEverywhere,Penguin Books,Pearson,O,
15,2020,DogManGrimeandPunishmentFromthe,Graphix,Scholastic Corp.,O,
16,2020,TheFourAgreementsAPracticalGuideto,Amber-Allen Publishing Incorporated ,Amber-Allen Publishing Incorporated ,X,
17,2020,Becoming,Crown,Pearson,O,
18,2020,AmericanDirtOprah'sBookClub,Flatiron Books ,Holtzbrinck,O,
19,2020,GiraffesCan'tDance,Cartwheel Books,Scholastic Corp.,O,
20,2020,MagnoliaTableVolume2ACollectionof,HarperCollinsPublishers,HarperCollins,O,
21,2020,LiveFreeOrDieAmericaandtheWorldonthe,Threshold Editions ,Simon & Schuster,O,
22,2020,TheSplendidandtheVileASagaofChurchill,Crown ,Pearson,O,
23,2020,The5LoveLanguagesTheSecrettoLovethat,Northfield Publishing,Moody Bible Institute,X,
24,2020,BrownBearBrownBearWhatDoYouSee,Henry Holt and Co. (BYR),Holtzbrinck,O,
25,2020,TheBodyKeepstheScoreBrainMindandBody,Penguin Books,Pearson,O,
26,2020,HowtoCatchaMermaid,Sourcebooks Wonderland ,Sourcebooks Wonderland ,X,
27,2020,TheSilentPatient,Celadon Books,Holtzbrinck,O,
28,2020,CasteOprah'sBookClubTheOriginsofOur,Random House ,Pearson,O,
29,2020,AtomicHabitsAnEasy&ProvenWaytoBuild,Genius Press ,Genius Press ,X,
30,2020,IAmConfidentBrave&BeautifulAColoring,Hopscotch Girls,Hopscotch Girls,X,
31,2020,HumanBodyActivityBookforKidsHands-On,Rockridge Press ,Rockridge Press ,X,
32,2020,GetOutofYourHeadStoppingtheSpiralof,WaterBrook,Pearson,O,
33,2020,TheBigBookofSillyJokesforKids800+Jokes,Rockridge Press ,Rockridge Press ,X,
34,2020,BurnAfterWriting,TarcherPerigee ,Pearson,O,
35,2020,TheBoytheMoletheFoxandtheHorse,HarperOne,HarperCollins,O,
36,2020,PaintbyStickerKidsUnicorns&MagicCreate,Workman Publishing Company,Workman Publishing Company,X,
37,2020,ILoveYoutotheMoonandBack,Tiger Tales,Tiger Tales,X,
38,2020,JustMercyAStoryofJusticeandRedemption,One World,One World,X,
39,2020,ChickaChickaBoomBoomBoardBook,Little Simon ,Simon & Schuster,O,
40,2020,EducatedAMemoir,Random House,Pearson,O,
41,2020,HowtoCatchaUnicorn,Sourcebooks Wonderland ,Sourcebooks Wonderland ,X,
42,2020,RichDadPoorDadWhattheRichTeachTheir,Plata Publishing,Plata Publishing,X,
43,2020,DisloyalAMemoirTheTrueStoryoftheFormer,Skyhorse Publishing,Skyhorse Publishing,X,
