num,year,title,publisher,mother company,is Global 50,year merged to Global 50
401,2016,HarryPotterandtheCursedChildParts1&2,Arthur A. Levine Books ,Scholastic (corp.),O,
402,2016,StrengthsFinder2.0,Gallup Press,Gallup Press,X,
403,2016,First100Words,Priddy Books US,Priddy Books US,X,
404,2016,TheLife-ChangingMagicofTidyingUpThe,Ten Speed Press,Random House,O,
405,2016,OhthePlacesYou'llGo혻혻,Random House Books for Young Readers ,Random House,O,
406,2016,DoubleDownDiaryofaWimpyKid#11,Harry N. Abrams,La Martinière Groupe,O,
407,2016,WhenBreathBecomesAir,Random House,Random House,O,
408,2016,GiraffesCan'tDance,Cartwheel Books,Scholastic Corp.,O,
409,2016,The5LoveLanguagesTheSecrettoLovethat,Northfield Publishing,Moody Publishers,X,
410,2016,TheWhole30The30-DayGuidetoTotalHealth,Houghton Mifflin Harcourt,HMH,O,
411,2016,AManCalledOve,Washington Square Press,Simon & Schuster,O,
412,2016,KillingtheRisingSunHowAmericaVanquished,Henry Holt and Co.,Holtzbrinck,O,
413,2016,HowtoWinFriends&InfluencePeople,Pocket Books ,Simon & Schuster,O,
414,2016,TheMagnoliaStory,Thomas Nelson,HarperCollins,O,
415,2016,Laugh-Out-LoudJokesforKids,Revell ,Baker Publishing Group,X,
416,2016,ToKillaMockingbird,Harper Perennial ,HarperCollins,O,
417,2016,HillbillyElegyAMemoirofaFamilyandCulture,Harper Paperbacks,HarperCollins,O,
418,2016,FantasticBeastsandWheretoFindThemThe,Arthur A. Levine Books,Scholastic (corp.),O,
419,2016,HamiltonTheRevolution,Grand Central Publishing,Grand Central Publishing,X,
420,2016,TheGirlontheTrain,Riverhead Books,Pearson,O,
421,2016,MindsetTheNewPsychologyofSuccess,Ballantine Books,Random House,O,
422,2016,TheOfficialSATStudyGuide2016Edition,College Board,College Board,X,
423,2016,AdultColoringBookDesignsStressRelief,New Castle P&P ,New Castle P&P ,X,
424,2016,TheFourAgreementsAPracticalGuideto,Amber-Allen Publishing Incorporated ,Amber-Allen Publishing Incorporated ,X,
425,2016,MilkandHoney,Andrews McMeel Publishing,Andrews McMeel Publishing,X,
426,2016,TheGoing-To-BedBook,Little Simon,Simon & Schuster,O,
427,2016,BorntoRun,Vintage,Random House,O,
428,2016,AlexanderHamilton,Penguin Books ,Pearson,O,
429,2016,TheVeryHungryCaterpillar,World of Eric Carle ,Pearson,O,
430,2016,The7HabitsofHighlyEffectivePeople,Simon & Schuster,Simon & Schuster,O,
431,2016,TheConstitutionoftheUnitedStates,Applewood Books,Applewood Books,X,
432,2016,Wonder,Knopf Books for Young Readers,Random House,O,
433,2016,TheWonderfulThingsYouWillBe,Random House Books for Young Readers,Random House,O,
434,2016,YouAreaBadassHowtoStopDoubtingYour,Running Press Adult,Perseus Books Group,O,
435,2016,ThugKitchenTheOfficialCookbookEatLike,Rodale Books,Random House ,O,
436,2016,Pok챕monDeluxeEssentialHandbookTheNeed,Scholastic Inc.,Scholastic (corp.),O,
437,2016,PublicationManualoftheAmerican,American Psychological Association,American Psychological Association,X,
438,2016,CravingsRecipesforAlltheFoodYouWantto,Clarkson Potter,Random House ,O,
439,2016,BetweentheWorldandMe,One World,One World,X,
440,2016,CalmtheF*ckDownAnIrreverentAdult,CreateSpace Independent Publishing Platform,,X,
441,2016,DearZooALift-the-FlapBook,Little Simon,Simon & Schuster,O,
442,2016,JesusCallingEnjoyingPeaceinHisPresence,Thomas Nelson,HarperCollins,O,
443,2016,NightNight,Hill and Wang ,Holtzbrinck,O,
445,2016,HarryPotterPaperbackBoxSetBooks1-7,Arthur A. Levine Books,Scholastic (corp.),O,
446,2016,HarryPotterandtheSorcerer'sStoneThe,Scholastic Inc.,Scholastic (corp.),O,
447,2016,10-DayGreenSmoothieCleanse,Simon & Schuster ,Simon & Schuster,O,
