num,year,title,publisher,mother company,is Global 50,year merged to Global 50
601,2014,StrengthsFinder2.0,Gallup Press,Gallup Press,X,
602,2014,FrozenLittleGoldenBook,Golden/Disney,Disney-Hyperion,X,
603,2014,Laugh-Out-LoudJokesforKids,Revell ,Baker Publishing Group,X,
604,2014,TheFaultinOurStars,Penguin Books,Pearson,O,
605,2014,DiaryofaWimpyKidTheLongHaul,Amulet Books,La Martinière Groupe,O,
606,2014,KillingPattonTheStrangeDeathofWorldWar,Henry Holt and Company,Holtzbrinck,O,
607,2014,WhatIfSeriousScientificAnswerstoAbsurd,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt,O,
608,2014,TheBloodofOlympusTheHeroesofOlympus5,Disney-Hyperion,Disney-Hyperion,X,
609,2014,JesusCallingEnjoyingPeaceinHisPresence,Thomas Nelson,HarperCollins,O,
610,2014,UnbrokenAWorldWarIIStoryofSurvival,Random House Trade Paperback,Random House,O,
611,2014,UltimateStickerBookFrozenMoreThan60,DK Children,Pearson,O,
612,2014,TheDaytheCrayonsQuit,Philomel Books,Pearson,O,
613,2014,Divergent,Katherine Tegen Books,HarperCollins,O,
614,2014,TheFaultinOurStars,Penguin Books,Pearson,O,
615,2014,OhthePlacesYou'llGo혻혻,Random House Books for Young Readers ,Random House,O,
616,2014,ToKillaMockingbird,Harper Perennial ,HarperCollins,O,
617,2014,GoneGirl,Crown,Random House,O,
618,2014,TheBookThief,Knopf Books for Young Readers,Random House,O,
619,2014,TheOfficialSATStudyGuide,College Board,College Board,X,
620,2014,HumansofNewYork,St. Martin's Press ,Holtzbrinck,O,
621,2014,TheGoldfinch,Back Bay Books ,Hachette Livre,O,
622,2014,DiagnosticandStatisticalManualofMental,American Psychiatric Publishing,American Psychiatric Publishing,X,
623,2014,Wonder,Knopf Books for Young Readers,Random House,O,
624,2014,TheBookwithNoPictures,Dial Books,Random House,O,
625,2014,RushRevereandtheFirstPatriotsTime-Travel,Threshold Editions,Simon & Schuster,O,
626,2014,The5LoveLanguagesTheSecrettoLoveThat,Northfield Publishing,Moody Publishers,X,
627,2014,Knock-KnockJokesforKids,Revell ,Baker Publishing Group,X,
628,2014,JOURNEYTOTHEICEP,Golden/Disney,Disney-Hyperion,X,
629,2014,PublicationManualoftheAmerican,American Psychological Association,American Psychological Association,X,
630,2014,LittleBlueTruck,HMH Books for Young Readers,HMH,X,
631,2014,MakeItAheadABarefootContessaCookbook,Clarkson Potter,Random House,O,
632,2014,First100Words,Priddy Books US,Priddy Books US,X,
633,2014,IfIStay,Speak,Pearson,O,
634,2014,AGameofThrones/AClashofKings/AStorm,Bantam,Random House,O,
635,2014,Divergent/Insurgent,Katherine Tegen Books,HarperCollins,O,
636,2014,CapitalintheTwentyFirstCentury,Belknap Press,Harvard University,X,
637,2014,OrphanTrain,William Morrow,HarperCollins,O,
638,2014,MindsetTheNewPsychologyofSuccess,Ballantine Books,Random House,O,
639,2014,HowtoWinFriends&InfluencePeople,Pocket Books ,Simon & Schuster,O,
640,2014,TheVeryHungryCaterpillar,World of Eric Carle ,Pearson,O,
641,2014,AlltheLightWeCannotSee,Scribner,Simon & Schuster,O,
642,2014,GrainBrainTheSurprisingTruthaboutWheat,Little Brown Spark,Hachette Livre,O,
643,2014,UnbrokenAWorldWarIIStoryofSurvival,Random House Trade Paperback,Random House,O,
644,2014,ThugKitchenTheOfficialCookbookEatLike,Rodale Books,Random House ,O,
645,2014,TheAlchemist,HarperOne,HarperCollins,O,
646,2014,LookingforAlaska,Penguin Books,Pearson,O,
647,2014,TheGreatGatsby,Scribner ,Simon & Schuster,O,
648,2014,TheBoysintheBoatNineAmericansandTheir,Penguin Books ,Pearson,O,
649,2014,LoveYouForever,Firefly Books ,Firefly Books,X,
650,2014,TheMazeRunnerBook1,Delacorte Press,Random House,O,
651,2014,Allegiant,Katherine Tegen Books,HarperCollins,O,
652,2014,YesPlease,Dey Street,HarperCollins,O,
653,2014,TheFiveDysfunctionsofaTeamALeadership,Jossey-Bass,Wiley,O,
654,2014,TheFourAgreementsAPracticalGuideto,Amber-Allen Publishing Incorporated ,Amber-Allen Publishing Incorporated ,X,
655,2014,The7HabitsofHighlyEffectivePeople,Simon & Schuster,Simon & Schuster,O,
656,2014,41APortraitofMyFather,Crown ,Random House,O,
657,2014,MinecraftTheCompleteHandbookCollection,Scholastic,Scholastic Corp.,O,
658,2014,FrozenATaleofTwoSisters,RH/Disney,Disney-Hyperion,X,
659,2014,RushRevereandtheBravePilgrimsTime-Travel,Threshold Editions,Simon & Schuster,O,
