num,year,title,publisher,mother company,is Global 50,year merged to Global 50
501,2015,First100Words,Priddy Books US,Priddy Books US,X,
502,2015,TheLife-ChangingMagicofTidyingUpThe,Ten Speed Press,Random House,O,
503,2015,Laugh-Out-LoudJokesforKids,Revell ,Baker Publishing Group,X,
504,2015,SecretGardenAnInkyTreasureHuntand,Laurence King Publishing,Hachette Livre,X,2020
505,2015,StrengthsFinder2.0,Gallup Press,Gallup Press,X,
506,2015,GoSetaWatchman,Harper Perennial Modern Classics,HarperCollins,O,
507,2015,EnchantedForestAnInkyQuestandColoring,Laurence King Publishing,Hachette Livre,X,2020
508,2015,AlltheLightWeCannotSee,Scribner,Simon & Schuster,O,
509,2015,TheGirlontheTrain,Riverhead Books,Pearson,O,
510,2015,AdultColoringBookStressRelievingPatterns,Blue Star Coloring,Blue Star Coloring,X,
511,2015,OldSchoolDiaryofaWimpyKid#10,Harry N. Abrams,La Martinière Groupe,O,
512,2015,ToKillaMockingbird,Harper Perennial ,HarperCollins,O,
513,2015,AdultColoringBookStressRelievingAnimal,Savanna Magic ,Savanna Magic,X,
514,2015,AdultColoringBooksAColoringBookforAdults,Independently published ,Independently published ,X,
515,2015,HumansofNewYorkStories,St. Martin's Press,Holtzbrinck,O,
516,2015,TheMartian,Broadway Books,Random House,O,
517,2015,OhthePlacesYou'llGo혻혻,Random House Books for Young Readers ,Random House,O,
518,2015,Knock-KnockJokesforKids,Revell ,Baker Publishing Group,X,
519,2015,DearZooALift-the-FlapBook,Little Simon,Simon & Schuster,O,
520,2015,TheDaytheCrayonsQuit,Philomel Books,Pearson,O,
521,2015,TheBoysintheBoatNineAmericansandTheir,Penguin Books ,Pearson,O,
522,2015,JesusCallingEnjoyingPeaceinHisPresence,Thomas Nelson,HarperCollins,O,
523,2015,MindsetTheNewPsychologyofSuccess,Ballantine Books,Random House,O,
524,2015,GreyFiftyShadesofGreyasToldbyChristian,Vintage,Random House,O,
525,2015,CreativeHavenCreativeCatsColoringBook,Dover Publications,LSC Communications,X,
526,2015,HowtoWinFriends&InfluencePeople,Pocket Books ,Simon & Schuster,O,
527,2015,The5LoveLanguagesTheSecrettoLovethat,Northfield Publishing,Moody Bible Institute,X,
528,2015,BalanceAngie'sExtremeStressMenders,CreateSpace Independent Publishing Platform ,,X,
529,2015,CreativeHavenOwlsColoringBookAdult,Dover Publications,LSC Communications,X,
530,2015,ThugKitchenTheOfficialCookbookEatLike,Rodale Books,Random House ,O,
531,2015,GiraffesCan'tDance,Cartwheel Books,Scholastic Corp.,O,
532,2015,Wonder,Knopf Books for Young Readers,Random House,O,
533,2015,The7HabitsofHighlyEffectivePeople,Simon & Schuster,Simon & Schuster,O,
534,2015,TheFourAgreementsAPracticalGuideto,Amber-Allen Publishing Incorporated ,Amber-Allen Publishing Incorporated ,X,
535,2015,BeingMortalMedicineandWhatMattersinthe,Atul Gawande,Holtzbrinck,O,
536,2015,LoveYouForever,Firefly Books ,Firefly Books,X,
537,2015,TheVeryHungryCaterpillar,World of Eric Carle ,Pearson,O,
538,2015,PublicationManualoftheAmerican,American Psychological Association,American Psychological Association,X,
539,2015,BetweentheWorldandMe,One World,One World,X,
540,2015,BabyTouchandFeelAnimals,DK Children,Pearson,O,
541,2015,TheBookwithNoPictures,Dial Books,Random House,O,
542,2015,TheWrightBrothers,Simon & Schuster,Simon & Schuster,O,
543,2015,DoverCreativeHavenArtNouveauAnimal,Dover Publications,LSC Communications,X,
544,2015,TheNightingale,St. Martin's Griffin,Holtzbrinck,O,
545,2015,ThePioneerWomanCooksDinnertime,William Morrow Cookbooks,HarperCollins,O,
546,2015,WhatPetShouldIGetClassicSeuss,Random House Books for Young Readers,Random House,O,
547,2015,KillingReaganTheViolentAssaultThat,Henry Holt and Co.,Holtzbrinck,O,
548,2015,HarryPotterColoringBook,Scholastic Inc.,Scholastic Corp.,O,
549,2015,AmericanSniperTheAutobiographyoftheMost,HarperCollins,HarperCollins,O,
