num,year,title,publisher,mother company,is Global 50,year merged to Global 50
801,2012,FiftyShadesofGreyBookOneoftheFifty,Vintage Books,Random House,O,
802,2012,FiftyShadesDarker,Vintage,Random House,O,
803,2012,FiftyShadesFreedBookThreeoftheFifty,Vintage,Random House,O,
804,2012,TheHungerGamesBook1,Scholastic Press,Scholastic (corp.),O,
805,2012,StrengthsFinder2.0,Gallup Press,Gallup Press,X,
806,2012,FiftyShadesTrilogyFiftyShadesofGrey/Fifty,Vintage,Random House,O,
807,2012,CatchingFireTheHungerGames,Scholastic Press,Scholastic (corp.),O,
808,2012,MockingjayTheHungerGames,Scholastic Press,Scholastic (corp.),O,
809,2012,TheThirdWheelDiaryofaWimpyKidBook7,Harry N. Abrams,La Martinière Groupe,O,
810,2012,NoEasyDayTheAutobiographyofaNavySeal,DUTTON Books,Pearson,O,
811,2012,TheHungerGamesTrilogyBoxedSet1,Scholastic Press,Scholastic (corp.),O,
812,2012,GoneGirl,Crown,Random House ,O,
813,2012,TheMarkofAthenaHeroesofOlympusBook3,Disney-Hyperion,Disney-Hyperion,X,
814,2012,TheOfficialSATStudyGuide,College Board,College Board,X,
815,2012,GameofThronesBoxedSetAGameofThrones,Bantam,Random House,O,
816,2012,KillingKennedyTheEndofCamelot,Henry Holt and Co.,Holtzbrinck,O,
817,2012,PublicationManualoftheAmerican,American Psychological Association,American Psychological Association,X,
818,2012,KillingLincolnTheShockingAssassinationthat,Henry Holt and Co.,Holtzbrinck,O,
819,2012,UnbrokenAWorldWarIIStoryofSurvival,Random House Trade Paperback,Random House,O,
820,2012,ProofofHeavenANeurosurgeon'sJourneyinto,Simon & Schuster,Simon & Schuster,O,
821,2012,The5LoveLanguagesTheSecrettoLoveThat,Northfield Publishing,Moody Publishers,X,
822,2012,BarefootContessaFoolproofRecipesYouCan,Clarkson Potter,Random House ,O,
823,2012,ThinkingFastandSlow,Farrar Straus and Giroux,Holtzbrinck,O,
824,2012,TheCasualVacancy,"Little, Brown and Company",Hachette Livre,O,
825,2012,TheHarbingerTheAncientMysterythatHolds,Frontline ,Frontline ,X,
826,2012,ThePowerofHabitWhyWeDoWhatWeDoin,Random House,Random House,O,
827,2012,SteveJobs,Simon & Schuster,Simon & Schuster,O,
828,2012,WheatBellyLosetheWheatLosetheWeight,Rodale Books,Random House ,O,
829,2012,OhthePlacesYou'llGo혻혻,Random House Books for Young Readers ,Random House,O,
830,2012,The7HabitsofHighlyEffectivePeople,Simon & Schuster,Simon & Schuster,O,
831,2012,TheFiveDysfunctionsofaTeamALeadership,Jossey-Bass,Wiley,O,
832,2012,QuietThePowerofIntrovertsinaWorldThat,Crown,Random House ,O,
833,2012,TheGreatGatsby,Scribner ,Simon & Schuster,O,
834,2012,TheRacketeer,Dell ,Random House,O,
835,2012,TheBloodSugarSolutionTheUltraHealthy,Little Brown Spark,Hachette Livre,O,
