num,year,title,publisher,mother company,is Global 50,year merged to Global 50
101,2019,WheretheCrawdadsSing,G.P. Putnam's Sons,Pearson,O,
102,2019,Becoming,Crown,Pearson,O,
103,2019,EducatedAMemoir,Random House,Pearson,O,
104,2019,DogManForWhomtheBallRollsFromthe,Graphix,Scholastic Corp.,O,
105,2019,GirlWashYourFaceStopBelievingtheLies,Thomas Nelson on Brilliance Audio,HarperCollins,O,
106,2019,DogManFetch-22FromtheCreatorofCaptain,Graphix,Scholastic Corp.,O,
107,2019,WreckingBallDiaryofaWimpyKidBook14,Harry N. Abrams,La Martinière Groupe,O,
108,2019,TheWonderfulThingsYouWillBe,Random House Books for Young Readers,Pearson,O,
109,2019,SchoolZone-BigPreschoolWorkbook-Ages4,School Zone Publishing,School Zone Publishing,X,
110,2019,The5LoveLanguagesTheSecrettoLovethat,Northfield Publishing,Moody Bible Institute,X,
111,2019,GirlStopApologizingAShame-FreePlanfor,Harpercollins Leadership,HarperCollins,O,
112,2019,TheWonkyDonkey,Scholastic Paperbacks,Scholastic Corp.,O,
113,2019,TheSubtleArtofNotGivingaF*ckA,Harper,HarperCollins,O,
114,2019,DifficultRiddlesForSmartKids300Difficult,CreateSpace Independent Publishing Platform,CreateSpace Independent Publishing Platform,X,
115,2019,SaltFatAcidHeatMasteringtheElementsof,Simon and Schuster,Simon & Schuster,O,
116,2019,TheVeryHungryCaterpillar,World of Eric Carle ,Pearson,O,
117,2019,WhatShouldDannyDoThePowertoChoose,Elon Books,Elon Books,X,
118,2019,It'sNotSupposedtoBeThisWayFinding,Thomas Nelson ,HarperCollins,O,
119,2019,IAmConfidentBrave&BeautifulAColoring,Hopscotch Girls,Hopscotch Girls,X,
120,2019,TheFourAgreementsAPracticalGuideto,Amber-Allen Publishing Incorporated ,Amber-Allen Publishing Incorporated ,X,
121,2019,UnfreedomofthePress,Threshold Editions,Simon & Schuster,O,
122,2019,DogManBrawloftheWildFromtheCreatorof,Graphix,Scholastic Corp.,O,
123,2019,GiraffesCan'tDance,Cartwheel Books,Scholastic Corp.,O,
124,2019,IfAnimalsKissedGoodNight,Farrar Straus and Giroux ,Holtzbrinck,O,
125,2019,OhthePlacesYou'llGo혻혻,Random House Books for Young Readers ,Pearson,O,
126,2019,HowardSternComesAgain,Simon & Schuster ,Simon & Schuster,O,
127,2019,Guts,Graphix,Scholastic Corp.,O,
128,2019,TheLife-ChangingMagicofTidyingUpThe,Ten Speed Press,Pearson,O,
129,2019,HarryPotterandtheGobletofFireThe,Arthur A. Levine Books,Scholastic (corp.),O,
130,2019,NationalGeographicLittleKidsFirstBigBookof,National Geographic Kids,National Geographic,O,
131,2019,InstantPotPressureCookerCookbook500,Independently published ,Independently published ,X,
132,2019,TheBodyKeepstheScoreBrainMindandBody,Penguin Books,Pearson,O,
133,2019,GoodDaysStartWithGratitudeA52Week,CreateSpace Independent Publishing Platform,Independently published ,X,
134,2019,GoodnightMoon,HarperCollins,HarperCollins,O,
135,2019,TheCompleteKetogenicDietforBeginnersYour,Rockridge Press ,Rockridge Press ,X,
136,2019,UnicornColoringBookForKidsAges4-8US,On The Hop Books Ltd,On The Hop Books Ltd,X,
137,2019,StrangePlanetStrangePlanetSeries,Morrow Gift,HarperCollins,O,
138,2019,Player'sHandbookDungeons&Dragons,Wizards of the Coast,Hasbro,X,
139,2019,TheSilentPatient,Celadon Books,Holtzbrinck,O,
140,2019,5000AwesomeFactsAboutEverything,National Geographic Kids,National Geographic,O,
141,2019,ToKillaMockingbird,Harper Perennial ,HarperCollins,O,
142,2019,YouAreaBadassHowtoStopDoubtingYour,Running Press Adult,Perseus Books Group,O,
143,2019,NationalGeographicKidsWhyOver1111,National Geographic Kids,National Geographic,O,
144,2019,Can'tHurtMeMasterYourMindandDefythe,Lioncrest Publishing ,Lioncrest Publishing ,X,
145,2019,TheGuardians,Dell ,Pearson,O,
146,2019,PisforPottySesameStreetLift-the-Flap,Random House Books for Young Readers,Pearson,O,
147,2019,TheTotalMoneyMakeoverClassicEditionA,Thomas Nelson,HarperCollins,O,
148,2019,BrownBearBrownBearWhatDoYouSee,Henry Holt and Co. (BYR),Holtzbrinck,O,
149,2019,TheUnofficialHarryPotterCookbookFrom,Adams Media,Holtzbrinck,O,
150,2019,TheMuellerReport,Scribner ,Holtzbrinck,O,
151,2019,ZenasF*ckZenasF*ckJournals,Castle Point Books ,Holtzbrinck,O,
152,2019,RichDadPoorDadWhattheRichTeachTheir,Plata Publishing,Plata Publishing,X,
153,2019,TheInstitute,Scribner,Holtzbrinck,O,
154,2019,TheTestamentsTheSequeltoTheHandmaid's,Anchor ,Anchor,X,
155,2019,SuperDeluxeEssentialHandbookPok챕mon,Scholastic Inc.,Scholastic Corp.,O,
156,2019,LetteringandModernCalligraphyABeginner's,June & Lucy ,June & Lucy,X,
157,2019,CarsonDellosa|FirstWordsFlashCards|,Carson Dellosa Education,Carson Dellosa Education,X,
158,2019,AtomicHabitsAnEasy&ProvenWaytoBuild,Genius Press ,Genius Press,X,
159,2019,MakeYourBedLittleThingsThatCanChange,Grand Central Publishing,Hachette Livre,O,
160,2019,TheGiftsofImperfectionLetGoofWhoYou,Brilliance Audio,,X,
161,2019,SapiensABriefHistoryofHumankind,Harper Perennial,HarperCollins,O,
162,2019,WhattoExpectWhenYou'reExpecting,Workman Publishing Company,Workman Publishing Company,X,
163,2019,WheretheCrawdadsSing,G.P. Putnam's Sons,Pearson,O,
164,2019,DaringGreatlyHowtheCouragetoBe,Avery,Pearson,O,
165,2019,TheAlchemist25thAnniversaryAFableAbout,HarperOne,HarperCollins,O,
166,2019,PublicationManualoftheAmerican,American Psychological Association,American Psychological Association,X,
167,2019,ThePout-PoutFish,Farrar Straus and Giroux ,Holtzbrinck,O,
168,2019,TalkingtoStrangersWhatWeShouldKnow,"Little, Brown and Company",Hachette Livre,O,
169,2019,DearZooALift-the-FlapBook,Little Simon,Simon & Schuster,O,
170,2019,TheOverstory,W. W. Norton & Company,W. W. Norton & Company,X,
171,2019,Fahrenheit451,Simon & Schuster,Simon & Schuster,O,
172,2019,StrengthsFinder2.0,Gallup Press,Gallup Press,X,
173,2019,12RulesforLifeAnAntidotetoChaos,Random House Canada,Pearson,O,
174,2019,EleanorOliphantIsCompletelyFine,Penguin Books,Pearson,O,
175,2019,MeEltonJohnOfficialAutobiography,Henry Holt and Co.,Holtzbrinck,O,
176,2019,TheRoadBacktoYouAnEnneagramJourneyto,IVP Books ,InterVarsity Christioan Fellowship,X,
177,2019,TheTattooistofAuschwitz,Harper Paperbacks,HarperCollins,O,
178,2019,PeopleofWalmart.comAdultColoringBook,Day Drankin' Press ,Day Drankin' Press,X,
179,2019,TheGreatGatsby,Scribner ,Simon & Schuster,O,
180,2019,TheCompleteCookbookforYoungChefs100+,Sourcebooks Explore ,Sourcebooks,O,
181,2019,BlowoutCorruptedDemocracyRogueState,Crown,Pearson,O,
182,2019,LoveYouForever,Firefly Books ,Firefly Books ,X,
183,2019,TheEasy5-IngredientKetogenicDietCookbook,Rockridge Press ,Rockridge Press,X,
184,2019,TheGivingTree,Harper & Row,HarperCollins,O,
185,2019,DragonsLoveTacos,Dial Books,Pearson,O,
186,2019,HowtoWinFriends&InfluencePeople,Pocket Books ,Simon & Schuster,O,
187,2019,MagnoliaTableACollectionofRecipesfor,William Morrow Cookbooks,HarperCollins,O,
188,2019,TheObesityCodeUnlockingtheSecretsof,Greystone Books,Greystone Books,X,
