num,year,title,publisher,mother company,is Global 50,year merged to Global 50
701,2013,StrengthsFinder2.0,Gallup Press,Gallup Press,X,
702,2013,LeanInWomenWorkandtheWilltoLead,Knopf,Random House,O,
703,2013,DiaryofaWimpyKidHardLuckBook8,Harry N. Abrams,La Martinière Groupe,O,
704,2013,RushRevereandtheBravePilgrimsTime-Travel,Threshold Editions,Simon & Schuster,O,
705,2013,JesusCallingEnjoyingPeaceinHisPresence,Thomas Nelson,HarperCollins,O,
706,2013,Inferno,Henry Holt and Co. ,Holtzbrinck,O,
707,2013,TheHouseofHadesHeroesofOlympusBook4,Disney-Hyperion,Disney-Hyperion,X,
708,2013,ThingsThatMatterThreeDecadesofPassions,Crown Forum,Random House ,O,
709,2013,TheGreatGatsby,Scribner ,Simon & Schuster,O,
710,2013,KillingJesusBillO'Reilly'sKillingSeries,Henry Holt and Co.,Holtzbrinck,O,
711,2013,ProofofHeavenANeurosurgeon'sJourneyinto,Simon & Schuster,Simon & Schuster,O,
712,2013,DiagnosticandStatisticalManualofMental,American Psychiatric Publishing,American Psychiatric Publishing,X,
713,2013,TheOfficialSATStudyGuide,College Board,College Board,X,
714,2013,TheFaultinOurStars,Penguin Books,Pearson,O,
715,2013,TheBookThief,Knopf Books for Young Readers,Random House,O,
716,2013,Wonder,Knopf Books for Young Readers,Random House,O,
717,2013,The5LoveLanguagesTheSecrettoLoveThat,Northfield Publishing,Moody Publishers,X,
718,2013,PublicationManualoftheAmerican,American Psychological Association,American Psychological Association,X,
719,2013,Divergent,Katherine Tegen Books,HarperCollins,O,
720,2013,Laugh-Out-LoudJokesforKids,Revell ,Baker Publishing Group,X,
721,2013,OhthePlacesYou'llGo혻혻,Random House Books for Young Readers ,Random House,O,
722,2013,DavidandGoliathUnderdogsMisfitsandthe,Little Brown and Company ,Hachette Livre,O,
723,2013,GameofThronesBoxedSetAGameofThrones,Bantam,Random House,O,
724,2013,Allegiant,Katherine Tegen Books,HarperCollins,O,
725,2013,AndtheMountainsEchoed,Riverhead Books,Pearson,O,
726,2013,HumansofNewYork,St. Martin's Press ,Holtzbrinck,O,
727,2013,TheLegendofZeldaHyruleHistoria,Dark Horse Books,Dark Horse Books,X,
728,2013,DoctorSleep,Scribner,Simon & Schuster,O,
729,2013,Knock-KnockJokesforKids,Revell ,Baker Publishing Group,X,
730,2013,TheGoldfinchPulitzerPrizeforFiction,Back Bay Books ,Hachette Livre,O,
731,2013,TheFourAgreementsAPracticalGuideto,Amber-Allen Publishing Incorporated ,Amber-Allen Publishing Incorporated ,X,
732,2013,GoneGirl,Crown,Random House ,O,
733,2013,GeorgeWashington'sSecretSixTheSpyRing,Sentinel,Pearson,O,
734,2013,QuietThePowerofIntrovertsinaWorldThat,Crown,Random House ,O,
735,2013,GoodnightGoodnightConstructionSite,Chronicle Books,McEvoy Group,X,
736,2013,SycamoreRowJakeBrigance,Doubleday,Random House,O,
737,2013,WheatBellyLosetheWheatLosetheWeight,Rodale Books,Random House ,O,
738,2013,ThePioneerWomanCooksAYearofHolidays,William Morrow Cookbooks,HarperCollins,O,
739,2013,TheDaytheCrayonsQuit,Philomel Books,Pearson,O,
740,2013,HappyHappyHappyMyLifeandLegacyasthe,Howard Books,Simon & Schuster,O,
741,2013,TheVeryHungryCaterpillar,World of Eric Carle ,Pearson,O,
742,2013,DaringGreatlyHowtheCouragetoBe,Avery,Pearson,O,
743,2013,The7HabitsofHighlyEffectivePeople,Simon & Schuster,Simon & Schuster,O,
744,2013,JoylandHardCaseCrime,Hard Case Crime,Hard Case Crime,X,
745,2013,FiftyShadesofGreyBookOneoftheFifty,Vintage Books,Random House,O,
746,2013,SoulHealingMiraclesAncientandNewSacred,BenBella Books ,BenBella Books,X,
747,2013,ShredTheRevolutionaryDiet6Weeks4Inches,Griffin,"Fantasy Publishing Company, Inc.",X,
748,2013,HyperboleandaHalfUnfortunateSituations,Gallery Books,Simon & Schuster,O,
749,2013,ToKillaMockingbird,Harper Perennial ,HarperCollins,O,
750,2013,TheFiveDysfunctionsofaTeamALeadership,Jossey-Bass,Wiley,O,
751,2013,UnbrokenAWorldWarIIStoryofSurvival,Random House Trade Paperback,Random House,O,
752,2013,Ender'sGameTheEnderQuintet,Tor Science Fiction,Holtzbrinck,O,
753,2013,TheGiftsofImperfectionLetGoofWhoYou,Brilliance Audio,,X,
754,2013,TheCuckoo'sCallingACormoranStrikeNovel1,Sphere ,Hachette Livre,O,
755,2013,WhattoExpectWhenYou'reExpecting,Workman Publishing Company,Workman Publishing Group,X,
756,2013,AmericatheBeautifulRediscoveringWhatMade,Zonderva,HarperCollins,O,
757,2013,TheLibertyAmendmentsRestoringthe,Threshold Editions,Simon & Schuster,O,
