90,2020,TheDeepEndDiaryofaWimpyKidBook15,Harry N. Abrams
91,2020,Greenlights,Crown
92,2020,APromisedLand,Crown 
93,2020,There'sNoPlaceLikeSpaceAllAboutOurSolar…,Random House Books for Young Readers
94,2020,BetweentheWorldandMe,One World
95,2020,TheGivingTree,Harper & Row
96,2020,Fahrenheit451,Simon & Schuster
97,2020,TheCareandKeepingofYouTheBodyBookfor…,American Girl
98,2020,RoomontheBroom,Puffin Books
99,2020,WheretheWildThingsAre,HarperCollins
100,2020,TheOneandOnlyIvan,HarperCollins
101,2019,WheretheCrawdadsSing,G.P. Putnam's Sons
102,2019,Becoming,Crown
103,2019,EducatedAMemoir,Random House
104,2019,DogManForWhomtheBallRollsFromthe…,Graphix
105,2019,GirlWashYourFaceStopBelievingtheLies…,Thomas Nelson on Brilliance Audio
106,2019,DogManFetch-22FromtheCreatorofCaptain…,Graphix
107,2019,WreckingBallDiaryofaWimpyKidBook14,Harry N. Abrams
108,2019,TheWonderfulThingsYouWillBe,Random House Books for Young Readers
109,2019,SchoolZone-BigPreschoolWorkbook-Ages4…,School Zone Publishing
110,2019,The5LoveLanguagesTheSecrettoLovethat…,Northfield Publishing
111,2019,GirlStopApologizingAShame-FreePlanfor…,Harpercollins Leadership
112,2019,TheWonkyDonkey,Scholastic Paperbacks
113,2019,TheSubtleArtofNotGivingaF*ckA…,Harper
114,2019,DifficultRiddlesForSmartKids300Difficult…,CreateSpace Independent Publishing Platform
115,2019,SaltFatAcidHeatMasteringtheElementsof…,Simon and Schuster
116,2019,TheVeryHungryCaterpillar,World of Eric Carle 
117,2019,WhatShouldDannyDoThePowertoChoose…,Elon Books
118,2019,It'sNotSupposedtoBeThisWayFinding…,Thomas Nelson 
119,2019,IAmConfidentBrave&BeautifulAColoring…,Hopscotch Girls
120,2019,TheFourAgreementsAPracticalGuideto…,Amber-Allen Publishing Incorporated 
121,2019,UnfreedomofthePress,Threshold Editions
122,2019,DogManBrawloftheWildFromtheCreatorof…,Graphix
123,2019,GiraffesCan'tDance,Cartwheel Books
124,2019,IfAnimalsKissedGoodNight,Farrar Straus and Giroux 
125,2019,OhthePlacesYou'llGo  ,Random House Books for Young Readers 
126,2019,HowardSternComesAgain,Simon & Schuster 
127,2019,Guts,Graphix
128,2019,TheLife-ChangingMagicofTidyingUpThe…,Ten Speed Press
129,2019,HarryPotterandtheGobletofFireThe…,Arthur A. Levine Books
130,2019,NationalGeographicLittleKidsFirstBigBookof…,National Geographic Kids
131,2019,InstantPotPressureCookerCookbook500…,Independently published 
132,2019,TheBodyKeepstheScoreBrainMindandBody…,Penguin Books
133,2019,GoodDaysStartWithGratitudeA52Week…,CreateSpace Independent Publishing Platform
134,2019,GoodnightMoon,HarperCollins
135,2019,TheCompleteKetogenicDietforBeginnersYour…,Rockridge Press 
136,2019,UnicornColoringBookForKidsAges4-8US…,On The Hop Books Ltd
137,2019,StrangePlanetStrangePlanetSeries,Morrow Gift
138,2019,Player'sHandbookDungeons&Dragons,Wizards of the Coast
139,2019,TheSilentPatient,Celadon Books
140,2019,5000AwesomeFactsAboutEverything…,National Geographic Kids
141,2019,ToKillaMockingbird,Harper Perennial 
142,2019,YouAreaBadassHowtoStopDoubtingYour…,Running Press Adult
143,2019,NationalGeographicKidsWhyOver1111…,National Geographic Kids
144,2019,Can'tHurtMeMasterYourMindandDefythe…,Lioncrest Publishing 
145,2019,TheGuardians,Dell 
146,2019,PisforPottySesameStreetLift-the-Flap,Random House Books for Young Readers
147,2019,TheTotalMoneyMakeoverClassicEditionA…,Thomas Nelson
148,2019,BrownBearBrownBearWhatDoYouSee,Henry Holt and Co. (BYR)
149,2019,TheUnofficialHarryPotterCookbookFrom…,Adams Media
150,2019,TheMuellerReport,Scribner 
151,2019,ZenasF*ckZenasF*ckJournals,Castle Point Books 
152,2019,RichDadPoorDadWhattheRichTeachTheir…,Plata Publishing
153,2019,TheInstitute,Scribner
154,2019,TheTestamentsTheSequeltoTheHandmaid's…,Anchor 
155,2019,SuperDeluxeEssentialHandbookPokémon…,Scholastic Inc.
156,2019,LetteringandModernCalligraphyABeginner's…,June & Lucy 
157,2019,CarsonDellosa|FirstWordsFlashCards|…,Carson Dellosa Education
158,2019,AtomicHabitsAnEasy&ProvenWaytoBuild…,Genius Press 
159,2019,MakeYourBedLittleThingsThatCanChange…,Grand Central Publishing
160,2019,TheGiftsofImperfectionLetGoofWhoYou…,Brilliance Audio
161,2019,SapiensABriefHistoryofHumankind,Harper Perennial
162,2019,WhattoExpectWhenYou'reExpecting,Workman Publishing Company
163,2019,WheretheCrawdadsSing,G.P. Putnam's Sons
164,2019,DaringGreatlyHowtheCouragetoBe…,Avery
165,2019,TheAlchemist25thAnniversaryAFableAbout…,HarperOne
166,2019,PublicationManualoftheAmerican…,American Psychological Association
167,2019,ThePout-PoutFish,Farrar Straus and Giroux 
168,2019,TalkingtoStrangersWhatWeShouldKnow…,"Little, Brown and Company"
169,2019,DearZooALift-the-FlapBook,Little Simon
170,2019,TheOverstory,W. W. Norton & Company
171,2019,Fahrenheit451,Simon & Schuster
172,2019,StrengthsFinder2.0,Gallup Press
173,2019,12RulesforLifeAnAntidotetoChaos,Random House Canada
174,2019,EleanorOliphantIsCompletelyFine,Penguin Books
175,2019,MeEltonJohnOfficialAutobiography,Henry Holt and Co.
176,2019,TheRoadBacktoYouAnEnneagramJourneyto…,IVP Books 
177,2019,TheTattooistofAuschwitz,Harper Paperbacks
178,2019,PeopleofWalmart.comAdultColoringBook…,Day Drankin' Press 
179,2019,TheGreatGatsby,Scribner 
180,2019,TheCompleteCookbookforYoungChefs100+…,Sourcebooks Explore 
181,2019,BlowoutCorruptedDemocracyRogueState…,Crown
182,2019,LoveYouForever,Firefly Books 
183,2019,TheEasy5-IngredientKetogenicDietCookbook…,Rockridge Press 
184,2019,TheGivingTree,Harper & Row
185,2019,DragonsLoveTacos,Dial Books
186,2019,HowtoWinFriends&InfluencePeople,Pocket Books 
187,2019,MagnoliaTableACollectionofRecipesfor…,William Morrow Cookbooks
188,2019,TheObesityCodeUnlockingtheSecretsof…,Greystone Books
189,2019,MagicTreeHouseBoxedSetBooks1-4…,Random House Books for Young Readers
190,2019,ThenSheWasGone,Atria Books
191,2019,ThePioneersTheHeroicStoryoftheSettlers…,Simon & Schuster 
192,2019,WackyWavingInflatableTubeGuyRPMinis
193,2019,MedicalMediumLiverRescueAnswersto…,Hay House Inc.
194,2019,TheCareandKeepingofYouTheBodyBookfor…,American Girl
195,2019,There'sNoPlaceLikeSpaceAllAboutOurSolar…,Random House Books for Young Readers
196,2019,HowtoDraw101Animals,Imagine That
197,2019,UnicornActivityBookforKidsAges4-8AFun…,Modern Kid Press 
198,2019,SimplyKetoAPracticalApproachtoHealth&…,Victory Belt Publishing
199,2019,TheOutsiders,Speak
200,2019,TheTryNottoLaughChallenge-WouldYour…,Try Not to Laugh Challenge Group
201,2018,Becoming,Crown
202,2018,GirlWashYourFaceStopBelievingtheLies…,Thomas Nelson on Brilliance Audio
203,2018,TheWonkyDonkey,Scholastic Paperbacks
204,2018,FireandFuryInsidetheTrumpWhiteHouse,Henry Holt and Company
205,2018,FearTrumpintheWhiteHouse,Simon & Schuster
206,2018,LastWeekTonightwithJohnOliverPresentsA…,Chronicle Books
207,2018,12RulesforLifeAnAntidotetoChaos,Random House Canada
208,2018,MagnoliaTableACollectionofRecipesfor…,William Morrow Cookbooks
209,2018,WhoseBoatIsThisBoatCommentsThatDon't…,Simon & Schuster
210,2018,TheSubtleArtofNotGivingaF*ckA…,Harper
211,2018,AHigherLoyaltyTruthLiesandLeadership,Flatiron Books
212,2018,TheCompleteKetogenicDietforBeginnersYour…,Rockridge Press 
213,2018,TheMeltdownDiaryofaWimpyKidBook13,Amulet Books
