Rank,Year,Title,Genre,Year_Rank,Note,,,,,,,,,,,,,,,,,,,,
57,2020,Preschool Math Workbook for Toddlers Ages 2-4:…,Children'sBooks,2020_57,,,,,,,,,,,,,,,,,,,,,
58,2020,The Mamba Mentality: How I Play,Biographies&Memoirs,2020_58,,,,,,,,,,,,,,,,,,,,,
59,2020,School Zone - Multiplication 0-12 Flash Cards…,Children'sBooks,2020_59,,,,,,,,,,,,,,,,,,,,,
60,2020,The Alchemist 25th Anniversary: A Fable About…,Religion&Spirituality,2020_60,,,,,,,,,,,,,,,,,,,,,
61,2020,Relationship Goals: How to Win at Dating…,Religion&Spirituality,2020_61,,,,,,,,,,,,,,,,,,,,,
62,2020,Oh the Places You'll Go!  ,Children'sBooks,2020_62,,,,,,,,,,,,,,,,,,,,,
63,2020,Awesome Science Experiments for Kids: 100+…,Children'sBooks,2020_63,,,,,,,,,,,,,,,,,,,,,
64,2020,The Color of Law: A Forgotten History of How…,Politics&SocialSciences,2020_64,,,,,,,,,,,,,,,,,,,,,
65,2020,Paint by Sticker Kids: Zoo Animals: Create 10…,Children'sBooks,2020_65,,,,,,,,,,,,,,,,,,,,,
66,2020,Carson Dellosa | First Words Flash Cards |…,Children'sBooks,2020_66,,,,,,,,,,,,,,,,,,,,,
67,2020,Learn to Read: A Magical Sight Words and…,Children'sBooks,2020_67,,,,,,,,,,,,,,,,,,,,,
68,2020,First Little Readers Parent Pack: Guided Reading…,Children'sBooks,2020_68,,,,,,,,,,,,,,,,,,,,,
69,2020,Llama Llama Loves Camping,Children'sBooks,2020_69,,,,,,,,,,,,,,,,,,,,,
70,2020,The Pout-Pout Fish,Children'sBooks,2020_70,,,,,,,,,,,,,,,,,,,,,
71,2020,Man's Search for Meaning,Religion&Spirituality,2020_71,,,,,,,,,,,,,,,,,,,,,
72,2020,The Wonderful Things You Will Be,Children'sBooks,2020_72,,,,,,,,,,,,,,,,,,,,,
73,2020,Dog Man: Fetch-22: From the Creator of Captain…,Children'sBooks,2020_73,,,,,,,,,,,,,,,,,,,,,
74,2020,Where's Spot?,Children'sBooks,2020_74,,,,,,,,,,,,,,,,,,,,,
75,2020,Love You Forever,Children'sBooks,2020_75,,,,,,,,,,,,,,,,,,,,,
76,2020,P is for Potty! (Sesame Street) (Lift-the-Flap),Children'sBooks,2020_76,,,,,,,,,,,,,,,,,,,,,
77,2020,The Gifts of Imperfection: Let Go of Who You…,Religion&Spirituality,2020_77,,,,,,,,,,,,,,,,,,,,,
78,2020,Normal People,Literature&Fiction,2020_78,,,,,,,,,,,,,,,,,,,,,
79,2020,The Outsiders,Teen&Youngadult,2020_79,,,,,,,,,,,,,,,,,,,,,
80,2020,Magnolia Table: A Collection of Recipes for…,"Cookbooks,Food&Wine",2020_80,,,,,,,,,,,,,,,,,,,,,
81,2020,The Subtle Art of Not Giving a F*ck: A…,Business&SelfHelp,2020_81,,,,,,,,,,,,,,,,,,,,,
82,2020,The Giver of Stars,Literature&Fiction,2020_82,,,,,,,,,,,,,,,,,,,,,
83,2020,Medical Medium Cleanse to Heal: Healing Plans…,HealthFitness&Dieting,2020_83,,,,,,,,,,,,,,,,,,,,,
84,2020,Kindergarten Math Workbook: Kindergarten and…,Children'sBooks,2020_84,,,,,,,,,,,,,,,,,,,,,
85,2020,Zen as F*ck (Zen as F*ck Journals),Business&SelfHelp,2020_85,,,,,,,,,,,,,,,,,,,,,
86,2020,The Intelligent Investor: The Definitive Book on…,Business&SelfHelp,2020_86,,,,,,,,,,,,,,,,,,,,,
87,2020,Blackout: How Black America Can Make Its…,Politics&SocialSciences,2020_87,,,,,,,,,,,,,,,,,,,,,
88,2020,God Gave Us You,Religion&Spirituality,2020_88,,,,,,,,,,,,,,,,,,,,,
89,2020,Modern Comfort Food: A Barefoot Contessa…,"Cookbooks,Food&Wine",2020_89,,,,,,,,,,,,,,,,,,,,,
90,2020,The Deep End (Diary of a Wimpy Kid Book 15),Children'sBooks,2020_90,변경/순위불확실,,,,,,,,,,,,,,,,,,,,
91,2020,Greenlights,Biographies&Memoirs,2020_91,변경/순위불확실,,,,,,,,,,,,,,,,,,,,
92,2020,A Promised Land,Biographies&Memoirs,2020_92,변경/순위불확실,,,,,,,,,,,,,,,,,,,,
93,2020,There's No Place Like Space: All About Our Solar…,Children'sBooks,2020_93,,,,,,,,,,,,,,,,,,,,,
94,2020,Between the World and Me,Politics&SocialSciences,2020_94,,,,,,,,,,,,,,,,,,,,,
95,2020,The Giving Tree,Literature&Fiction,2020_95,,,,,,,,,,,,,,,,,,,,,
96,2020,Fahrenheit 451,Politics&SocialSciences,2020_96,,,,,,,,,,,,,,,,,,,,,
97,2020,The Care and Keeping of You: The Body Book for…,Children'sBooks,2020_97,,,,,,,,,,,,,,,,,,,,,
98,2020,Room on the Broom,Children'sBooks,2020_98,변경/순위불확실,,,,,,,,,,,,,,,,,,,,
99,2020,Where the Wild Things Are,Children'sBooks,2020_99,변경/순위불확실,,,,,,,,,,,,,,,,,,,,
100,2020,The One and Only Ivan,Children'sBooks,2020_100,변경/순위불확실,,,,,,,,,,,,,,,,,,,,
101,2019,Where the Crawdads Sing,Literature&Fiction,2019_01,,,,,,,,,,,,,,,,,,,,,
102,2019,Becoming,Biographies&Memoirs,2019_02,,,,,,,,,,,,,,,,,,,,,
103,2019,Educated: A Memoir,Biographies&Memoirs,2019_03,,,,,,,,,,,,,,,,,,,,,
104,2019,Dog Man: For Whom the Ball Rolls: From the…,Children'sBooks,2019_04,,,,,,,,,,,,,,,,,,,,,
105,2019,"Girl, Wash Your Face: Stop Believing the Lies…",Business&SelfHelp,2019_05,,,,,,,,,,,,,,,,,,,,,
106,2019,Dog Man: Fetch-22: From the Creator of Captain…,Children'sBooks,2019_06,,,,,,,,,,,,,,,,,,,,,
107,2019,Wrecking Ball (Diary of a Wimpy Kid Book 14),Children'sBooks,2019_07,,,,,,,,,,,,,,,,,,,,,
108,2019,The Wonderful Things You Will Be,Children'sBooks,2019_08,,,,,,,,,,,,,,,,,,,,,
109,2019,School Zone - Big Preschool Workbook - Ages 4…,Children'sBooks,2019_09,,,,,,,,,,,,,,,,,,,,,
110,2019,The 5 Love Languages: The Secret to Love that…,Religion&Spirituality,2019_10,,,,,,,,,,,,,,,,,,,,,
111,2019,"Girl, Stop Apologizing: A Shame-Free Plan for…",Business&SelfHelp,2019_11,,,,,,,,,,,,,,,,,,,,,
112,2019,The Wonky Donkey,Children'sBooks,2019_12,,,,,,,,,,,,,,,,,,,,,
