BestsellerFic,Genre,GenreBin,Title,Author,Published Year,Publisher,Page,Price,authorgender(male0fe1team2),isFirstBestSeller,Duration,痕井穿Duration,痕井板Duration3(0=S1=L2=etc),Impact,year_rank,isGlobal50 of first year(False=0True=1)
2012,Literature&Fiction,6,The Casual Vacancy,J.K. Rowling,2012,"Little, Brown and Company",503,18,1,0,1,0,0,12320000,,1
2012,Literature&Fiction,6,The Racketeer,John Grisham,2012,Dell ,353,9.99,0,0,1,0,0,5.58E+04,,1
2012,Teen&Youngadult,6,The Serpent's Shadow (The Kane Chronicles・,Rick Riordan,2017,Disney-Hyperio,253,9.99,0,0,1,0,0,4.90E+04,,0
2012,Literature&Fiction,6,Winter of the World: Book Two of the Century・,Ken Follett,2012,Berkley,960,10.99,0,0,1,0,0,80251.7133,,1
2012,Literature&Fiction,6,The Walking Dead: Compendium One,Robert Kirkman,2009,Image Comics,1088,59.99,0,1,1,0,0,31958.96044,,0
2012,Literature&Fiction,6,How to Tell If Your Cat Is Plotting to Kill You・,The Oatmeal,2012,Andrews McMeel Publishing,136,14.99,2,1,1,0,0,559476.6794,,0
2012,Literature&Fiction,6,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,2013,Bantam,1016,9.99,0,1,2,0,1,209366.3,,1
2012,Literature&Fiction,6,Bared to You,Sylvia Day,2012,Berkley ,337,17,1,1,1,0,0,272235.7789,,1
2012,Literature&Fiction,6,Go the F**k to Sleep,Adam Mansbach,2011,Akashic Books,32,15.95,0,1,2,0,1,1564.288363,,0
2012,Literature&Fiction,6,Reflected in You (Crossfire Book 2),Sylvia Day,2012,Berkley,353,16,1,1,1,0,0,238152.7168,,1
2012,Literature&Fiction,6,Deadlocked (Sookie Stackhouse/True Blood・,Charlaine Harris,2015,Ace,327,7.99,1,0,1,0,0,1.60E+04,,1
2012,Literature&Fiction,6,Notorious Nineteen: A Stephanie Plum Novel,Janet Evanovich,2012,Bantam,322,8.99,1,0,1,0,0,1.26E+04,,1
2012,Literature&Fiction,6,Cloud Atlas,David Mitchell,2004,Random House Trade,509,15,0,0,1,0,0,125473370,,1
2012,Literature&Fiction,6,A Memory of Light (Wheel of Time Book 14)・,Robert Jordan,2012,Tor Books,1150,10.99,0,0,2,0,1,1.05E+07,,1
2011,Teen&Youngadult,6,Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,2011,Knopf Books for Young Readers,399,15.99,0,0,1,0,0,2.53E+04,,1
2011,Teen&Youngadult,6,The Son of Neptune (Heroes of Olympus Book 2),Rick Riordan,2011,Disney-Hyperion,560,9.99,0,0,1,0,0,2.21E+05,,0
2011,Literature&Fiction,6,The Help,Kathryn Stockett,2011,Berkley,544,17,1,0,3,1,1,6.04E+03,,1
2011,Literature&Fiction,6,11/22/63,Stephen King,2011,Scribner,849,20.99,0,0,1,0,0,905451.9,,1
2011,Literature&Fiction,6,The Girl Who Kicked the Hornet's Nest・,Simon Vance (Narrator,2010,Knopf,602,9.99,0,1,1,0,0,3.94E+03,,1
2011,Literature&Fiction,6,Water for Elephants,Sara Gruen,2007,Algonquin Books ,368,15.95,1,0,1,0,0,7.67E+03,,0
2011,Literature&Fiction,6,The Throne of Fire (The Kane Chronicles Book 2),Rick Riordan,2011,Disney-Hyperion,528,18.99,0,0,1,0,0,5.29E+04,,0
2011,Literature&Fiction,6,Dead Reckoning (Sookie Stackhouse/True Blood・,Charlaine Harris,2011,Ace,264,7.99,1,0,1,0,0,1.34E+04,,1
2011,Literature&Fiction,6,The Litigators,John Grisham,2011,Dell,401,9.99,0,0,1,0,0,4.09E+04,,1
