Pearson
ThomsonReuters
RELX Group
Wolters Kluwer
Penguin Random House
"China South Publishing & Media Group Co., Ltd"
Phoenix Publishing and Media Company
Hachette Livre
McGraw-Hill Education
Grupo Planeta
Wiley
Scholastic
HarperCollins
Cengage Learning Holdings II LP
Springer Nature
Houghton Mifflin Harcourt
China Publishing Group Corporation
Zhejiang Publishing United Group
Holtzbrinck
China Education Publishing & Media
Oxford University Press
Informa
Shueisha
Kadokawa Publishing
Kodansha Ltd.
Shogakukan
Bonnier
Egmont Group
Simon & Schuster
Grupo Santillana
Woongjin ThinkBig
Klett
Messagerie / GeMS
De Agostini Editore                                             *
Groupe Madrigall
Les Editions Lefebvre-Sarrut
Cambridge University Press
Media Participations
Mondadori Libri
Westermann Verlagsgruppe
Sanoma
Cornelsen
Haufe Gruppe
Kyowon Co. Ltd.
WEKA
La Martinière Groupe
Gakken Co. Ltd.
EKSMO-AST
OLMA Media Group
Bungeishunju Ltd.
Groupe Albin Michel
"Shinchosha Publishing Co, Ltd."
