Albin Michel 
Bertelsmann 
Bonnier 
Bungei Shunjū Ltd. 
Cengage Learning Holdings II LP 
Cornelsen
Cambridge University Press 
De Agostini S.p.A. 
Egmont 
EKSMO–AST
France Loisirs 
FTD Editora 
"Gakken Holdings Co., Ltd"
Grupo Planeta 
Hachette Livre 
HarperCollins 
Haufe-Lexware 
Holtzbrinck Publishing Group
Houghton Mifflin Harcourt 
Informa
"Kadokawa Shoten Publishing Co., Ltd"
Kabushiki-gaisha Kōdansha (Kodansha Limited)
"Kyowon Co., Ltd. "
La Martinière Groupe 
Les Editions Lefebvre-Sarrut
Madrigall / Groupe Gallimard / Flammarion
McGraw-Hill Education
Média Participations 
Messagerie Italiane and Gruppo editoriale Mauri Spagnol (GeMS)
Arnoldo Mondadori Editore S.p.A
Oxford University Press
Pearson Plc 
Prosveshcheniye 
RELX Group 
Sanoma
Santillana 
Scholastic 
Shinchosha Publishing Co Ltd 
Shogakukan Inc
"Shueisha Publishing Co., Ltd. "
Simon & Schuster
Somos Educação S.A. 
Springer Nature 
Thomson Reuters 
WEKA 
Westermann Gruppe
John Wiley & Sons 
Wolters Kluwer
Woongjin Think Big 
