Pearson
Reed Elsevier
Thomson-Reuters
Wolters Kluwer
Random House
Hachette Livre
Holtzbrinck
Grupo Planeta
Cengage*
McGraw-Hill Education
Scholastic
Wiley
De Agostini Editore*
China Publishing Group
Houghton Mifflin Harcourt
HarperCollins
Springer Science and Business Media
Oxford University Press
Shueisha
Informa
China Education and Media Group (form. Higher Education Press)
Kodansha
Egmont Group
Grupo Santillana
Shogakukan
Bonnier
Kadokawa Publishing
Simon & Schuster
Klett
Woongjin ThinkBig
"Groupe Madrigall (Gallimard, Flammarion)"
Lefebvre-Sarrut
Readers Digest*
Messagerie / GeMS
Media Participations
Mondadori
Cornelsen
Cambridge University Press
Perseus*
Sanoma
Westermann Verlagsgruppe
Harlequin
Kyowon
RCS Libri
EKSMO-AST (since 2012: EKSMO)
La Martinière Groupe
Weka
Haufe Gruppe
OLMA Media Group
Gakken
Bungeishunju
Shinchosha
Editions Atlas
Groupe Albin Michel
Abril Educação
Saraiva
