Albin Michel 
Bertelsmann 
Bloomsbury Publishing Plc
Bonnier 
Cambridge University Press 
Cengage Learning Holdings II LP 
China Publishing Group Corporation (CPG) 
"China South Publishing & Media Group Co., Ltd"
Cornelsen
C.H.Beck
Editis-Vivendi 
Egmont 
FTD Editora 
"Gakken Holdings Co., Ltd"
Hachette Livre 
HarperCollins 
Haufe Group 
Holtzbrinck Publishing Group
Houghton Mifflin Harcourt 
"Kadokawa Shoten Publishing Co., Ltd"
Klett 
"Kyowon Co., Ltd. "
Les Editions Lefebvre-Sarrut
Madrigall / Groupe Gallimard / Flammarion
McGraw-Hill Education
Média Participations 
Messagerie Italiane and Gruppo editoriale Mauri Spagnol (GeMS)
Arnoldo Mondadori Editore S.p.A
Oxford University Press
Pearson Plc 
Phoenix Publishing and Media Group 
Grupo Planeta 
Prosveshcheniye 
RELX Group 
Sanoma
Santillana 
Scholastic 
Shinchosha Publishing Co Ltd 
Shogakukan Inc
"Shueisha Publishing Co., Ltd. "
Simon & Schuster
Somos Educação S.A. 
Springer Nature 
Thieme 
Thomson Reuters 
WEKA 
John Wiley & Sons 
Wolters Kluwer
Woongjin ThinkBig 
