Pearson
ThomsonReuters
RELX Group
Wolters Kluwer
Penguin Random House
Phoenix Publishing and Media Company
"China South Publishing & Media Group Co., Ltd"
Hachette Livre
McGraw-Hill Education
Holtzbrinck
Grupo Planeta
Scholastic
Wiley
Cengage Learning Holdings II LP
China Publishing Group Corporation
Harper Collins
Houghton Mifflin Harcourt
De Agostini Editore
Oxford University Press
Springer Science and Business Media
China Education Publishing & Media Holdings Co. Ltd.
Informa
Shueisha
Kodansha Ltd.
Egmont Group
Shogakukan
Bonnier
Grupo Santillana
Kadokawa Publishing
Simon & Schuster
Woongjin ThinkBig
Klett
Groupe Madrigall
Les Editions Lefebvre-Sarrut
Messagerie / GeMS
Media Participations
Mondadori
Cambridge University Press
The Perseus Book Group
France Loisirs
Westermann Verlagsgruppe
Sanoma
Cornelsen
Kyowon Co. Ltd.
La Martinière
Haufe Gruppe
WEKA
RCS Libri
Gakken Co. Ltd.
Bungeishunju Ltd.
OLMA Media Group
EKSMO
Groupe Albin Michel
Saraiva
Editora FTD
Abril Educação
"Shinchosha Publishing Co, Ltd."
""
Harlequin
