Albin Michel 
Bertelsmann 
Bloomsbury Publishing Plc
Bonnier 
Bungei Shunjū Ltd. 
Cambridge University Press 
Cengage Learning Holdings II LP 
Central China Publishing and Media
"China Publishing & Media Holdings Co., Ltd "
China Science Publishing and Media 
"China South Publishing & Media Group Co., Ltd"
Cornelsen
C.H.Beck
Editis-Vivendi 
Egmont 
EKSMO–AST
FTD Editora 
"Gakken Holdings Co., Ltd"
Hachette Livre 
HarperCollins 
Haufe Group 
Holtzbrinck Publishing Group
Informa
"Kadokawa Shoten Publishing Co., Ltd"
Kabushiki-gaisha Kōdansha (Kodansha Limited)
Klett 
"Kyowon Co., Ltd. "
Les Editions Lefebvre-Sarrut
Madrigall / Groupe Gallimard / Flammarion
McGraw-Hill Education
Média Participations 
Messagerie Italiane and Gruppo editoriale Mauri Spagnol (GeMS)
Arnoldo Mondadori Editore S.p.A
Oxford University Press
Pearson Plc 
Phoenix Publishing and Media Group 
Grupo Planeta 
Prosveshcheniye 
"The Quarto Group, Inc. "
RELX Group 
Sanoma
Santillana 
Scholastic 
Shinchosha Publishing Co Ltd 
Shogakukan Inc
"Shueisha Publishing Co., Ltd. "
Simon & Schuster
Somos Educação S.A. 
Springer Nature 
Thieme 
WEKA 
Westermann Gruppe
John Wiley & Sons 
Wolters Kluwer
Woongjin ThinkBig 
