Pearson
Reed Elsevier
Thomson Reuters
Wolters Kluwer
Hachette Livre
Grupo Planeta
McGraw-Hill Education
Random House
Holtzbrinck
Scholastic (corp.)
Cengage Learning
Wiley
De Agostini Editore
Shueisha
Kodansha
Shogakukan
Readers' Digest
Houghton Mifflin Harcourt
Springer Science and Business Media
HarperCollins
Informa
Gakken
Oxford University Press
Grupo Santillana
Bonnier
Kadokawa Publishing
Simon & Schuster
Egmont Group
Woongjin ThinkBig
RCS Libri
Klett
Cornelsen
Mondadori
GeMS - Gruppo editoriale Mauri Spagnol
Lefebvre Sarrut
Harlequin
Sanoma
China Education and Media Group (form. Higher Education Press)
Media Participations
Abril Educação
Perseus
Westermann Verlagsgruppe
La Martinière Groupe
Bungeishunju
AST
Groupe Gallimard
Shinchosha
Kyowon
Weka
Saraiva
Haufe Gruppe
Editora FTD
Groupe Albin Michel
EKSMO
