Pearson
Reed Elsevier
ThomsonReuters
Wolters Kluwer
Random House
Hachette Livre
Grupo Planeta
McGraw-Hill Education
Holtzbrinck
Scholastic (corp.)
Cengage
Wiley
De Agostini Editore
Shueisha
Kodansha
Springer Science and Business Media
Houghton Mifflin Harcourt
Shogakukan
Harper Collins
Informa
Oxford University Press
China Publishing Group Corporate
Phoenix Publishing and Media Company
Kadokawa Publishing
Grupo Santillana
Bonnier
Gakken
Egmont Group
Simon & Schuster
China Education and Media Group (form. Higher Education Press)
Woongjin ThinkBig
Klett
Cornelsen
Readers Digest
Mondadori
Messagerie / GeMS (Gruppo editoriale Mauri Spagnol)
Media Participations
Lefebvre-Sarrut
Abril Educação
Harlequin
Sanoma
Perseus
Cambridge University Press
Westermann Verlagsgruppe
La Martinière Groupe
Flammarion
RCS Libri
Groupe Gallimard
Kyowon
Bungeishunju
Haufe Gruppe
Weka
OLMA Media Group
Shinchosha
EKSMO
Editions Atlas
Saraiva
Groupe Albin Michel
Editora FTD
AST
