Albin Michel 
Bertelsmann 
Bloomsbury Publishing Plc
Bonnier 
Bungei Shunjū Ltd. 
Cambridge University Press 
Cengage Learning Holdings II LP 
Cornelsen
C. H. Beck 
Egmont 
EKSMO–AST
France Loisirs 
FTD Editora 
"Gakken Holdings Co., Ltd"
Hachette Livre 
HarperCollins 
Haufe Group 
Holtzbrinck Publishing Group
Houghton Mifflin Harcourt 
Informa
"Kadokawa Shoten Publishing Co., Ltd"
Kabushiki-gaisha Kōdansha (Kodansha Limited)
"Kyowon Co., Ltd. "
La Martinière Groupe 
Les Editions Lefebvre-Sarrut
Madrigall / Groupe Gallimard / Flammarion
McGraw-Hill Education
Média Participations 
Messagerie Italiane and Gruppo editoriale Mauri Spagnol (GeMS)
Arnoldo Mondadori Editore S.p.A
Oxford University Press
Pearson Plc 
Grupo Planeta 
Prosveshcheniye 
"The Quarto Group, Inc. "
RELX Group 
Sanoma
Santillana 
Scholastic 
Shinchosha Publishing Co Ltd 
Shogakukan Inc
"Shueisha Publishing Co., Ltd. "
Simon & Schuster
Somos Educação S.A. 
Springer Nature 
Thieme 
Thomson Reuters 
WEKA 
Westermann Gruppe
John Wiley & Sons 
Woongjin Think Big 
